"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"Frontier Graphic T-shirt","Portland","20285228-fco-025897799","USD","27.0","0.0","27.0","1"
"Frontier Graphic T-shirt","Portland","20293794-fco-027921013","USD","27.0","0.0","27.0","1"
"Granite Mountain 9"" Shorts","Portland","20189131-fco-021941245","USD","25.5","0.0","25.5","1"
"Frontier Pocket T-shirt","Portland","20293593-fco-028042662","USD","24.75","0.0","24.75","1"
"Lined Ragg Wool Beanie","Portland","20204539-fco-013917132","USD","22.5","0.0","22.5","2"
"MEDIUMWEIGHT TRADITIONAL CREW SOCK","Portland","F20106079-1-GryHeather-000002315","USD","21.0","0.0","21.0","1"
"Trucker Mesh Cap","Portland","20294429-fco-027932551","USD","20.25","0.0","20.25","1"
"Frontier Graphic T-shirt","Portland","20293797-fco-027921527","USD","20.25","0.0","20.25","1"
"Adjustable Nylon Leash","Portland","20218830-fco-012220020","USD","19.5","0.0","19.5","1"
"FILSON'S OIL FINISH WAX","Portland","F1020278928-1-NoColor-OS-USA","USD","18.5","0.0","18.5","7"
"BALLARD WATCH CAP","Portland","20249028-fco-005947812","USD","13.5","0.0","13.5","1"
"BALLARD WATCH CAP","Portland","20249028-fco-021941422","USD","13.5","0.0","13.5","1"
"FILSON'S OIL FINISH WAX","Portland","20278928-fco-024646251","USD","5.0","0.0","5.0","1"
"DENIM GUIDE SHIRT","Portland","F20291981-1-RinsIndigo-014728312","USD","0.0","0.0","0.0","1"
"WATCH CAP","Portland","F11030235-1-Navy-000000092","USD","0.0","0.0","0.0","1"
"BALLARD WATCH CAP","Portland","F20249028-1-BalsamGrn-005947812","USD","0.0","0.0","0.0","1"
"Worksmith Double Layer Pants","Portland","20285048-fco-000001043","USD","0.0","0.0","0.0","2"
"400g Merino Wool Hoodie","Portland","20114900-fco-000000105","USD","0.0","0.0","0.0","1"
"Alaskan Guide Shirt","Portland","11012006-fco-007554623","USD","0.0","145.0","-145.0","1"
"Mackinaw Wool  Blanket","Portland","20263624-fco-025882352","USD","0.0","177.0","-177.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000122","USD","0.0","550.0","-550.0","1"
"Mackinaw Wool Vest","Portland","20266328-fco-000000122","USD","0.0","0.0","0.0","1"
"Chambray Cpo Shirt","Portland","20189139-fco-012495230","USD","0.0","145.0","-145.0","1"
"Mackinaw Wool Blazer","Portland","20270478-fco-002122488","USD","0.0","357.0","-357.0","1"
"Tin Cloth Packer Hat","Portland","20211128-fco-000000055","USD","0.0","0.0","0.0","1"
"Ultralight Vest","Portland","20114890-fco-022851405","USD","0.0","0.0","0.0","1"
"Double Mackinaw Wool Cap","Portland","20295629-fco-025727789","USD","0.0","117.0","-117.0","1"
"Worksmith Pants","Portland","20285047-fco-000001043","USD","0.0","75.0","-75.0","1"
"TIN CLOTH INSULATED WORK VEST","Portland","F1420172090-1-DarkTan-M-KOR","USD","0.0","0.0","0.0","1"
"Field Jac-shirt","Portland","20277936-fco-016828494","USD","0.0","0.0","0.0","1"
"400g Merino Wool Hoodie","Portland","20114900-fco-000000134","USD","0.0","0.0","0.0","1"
"Filson X Ten Thousand Tactical Shorts","Portland","20237128-fco-022854656","USD","0.0","52.8","-52.8","1"
"FIELD FLANNEL SHIRT","Portland","F20172107-1-NubuckTan-018078334","USD","0.0","0.0","0.0","2"
"Mackinaw Wool Hooded Cruiser Jacket","Portland","20285030-fco-000170250","USD","0.0","325.0","-325.0","1"
"Mackinaw Wool Jac-shirt","Portland","20292528-fco-026724204","USD","0.0","297.0","-297.0","1"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000046","USD","0.0","255.0","-255.0","1"
"Alaskan Guide Shirt","Portland","11012006-fco-000000839","USD","0.0","145.0","-145.0","1"
"FULL FINGER KNIT GLOVES","Portland","F20020939-1-RootHeathr-009939341","USD","0.0","0.0","0.0","1"
"210G Merino Wool Short Sleeve Crewneck","Portland","20067699-fco-000001669","USD","0.0","95.0","-95.0","1"
"Dry Tin Cloth Forester Jac-shirt","Portland","20293581-fco-027888631","USD","0.0","0.0","0.0","2"
"Mackinaw Wool Vest","Portland","20266328-fco-000000111","USD","0.0","0.0","0.0","1"
"Tin Cloth Bush Hat","Portland","20211129-fco-000000052","USD","0.0","75.0","-75.0","1"
"Prospector Hoodie","Portland","20204496-fco-025905857","USD","0.0","0.0","0.0","1"
"Ultralight Jacket","Portland","20114879-fco-022851041","USD","0.0","107.5","-107.5","1"
"Full Finger Knit Gloves","Portland","20020939-fco-000000112","USD","0.0","0.0","0.0","1"
"TIN CLOTH SUPPLY TOTE","Portland","F20277991-1-OtterGreen-000000074","USD","0.0","0.0","0.0","1"
"Mackinaw Wool Vest","Portland","20266328-fco-000000116","USD","0.0","0.0","0.0","1"
"Lined Denim Cruiser Jacket","Portland","20204440-fco-012796317","USD","0.0","262.5","-262.5","1"
"Vintage Flannel Work Shirt","Portland","11010689-fco-025896346","USD","0.0","99.0","-99.0","1"
"Field Supply Pants","Portland","20293583-fco-025020945","USD","0.0","0.0","0.0","1"
"Granite Spire Fleece Pullover","Portland","20248528-fco-000000099","USD","0.0","112.5","-112.5","1"
"Dry Tin Cloth 5-pocket Pants","Portland","20155578-fco-027940194","USD","0.0","0.0","0.0","1"
