"Product Name","Product ID","SKU","Size","Color","Price","Currency","Fulfillment Location","Store Name","Stock Location","On Hand"
"RAIL-SPLITTER LINED JEANS","703060853882","F1420233134-1-IndRedBlk-32x33-USA","32x33","RawRedBlac",102.0,"USD","50003","Portland","Main",0
"RAIL-SPLITTER LINED JEANS","703060853899","F1420233134-1-IndRedBlk-33x33-USA","33x33","RawRedBlac",102.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854247","F1420238578-1-FdBlk-S-BGD","S","FadedBlack",90.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854254","F1420238578-1-Fir-S-BGD","S","Fir",120.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854285","F1420238578-1-FdBlk-M-BGD","M","FadedBlack",90.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854292","F1420238578-1-Fir-M-BGD","M","Fir",120.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854346","F1420238578-1-FdBlk-L-BGD","L","FadedBlack",90.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854353","F1420238578-1-Fir-L-BGD","L","Fir",120.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854391","F1420238578-1-Fir-XS-BGD","XS","Fir",120.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854421","F1420238578-1-FdBlk-XL-BGD","XL","FadedBlack",90.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854438","F1420238578-1-Fir-XL-BGD","XL","Fir",120.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854469","F1420238578-1-FdBlk-2XL-BGD","XXL","FadedBlack",90.0,"USD","50003","Portland","Main",0
"PROSPECTOR SWEATPANT","703060854476","F1420238578-1-Fir-2XL-BGD","XXL","Fir",120.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854698","F1420238580-1-FdBlk-S-BGD","S","FadedBlack",95.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854704","F1420238580-1-Fir-S-BGD","S","Fir",95.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854735","F1420238580-1-FdBlk-M-BGD","M","FadedBlack",95.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854742","F1420238580-1-Fir-M-BGD","M","Fir",95.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854797","F1420238580-1-FdBlk-L-BGD","L","FadedBlack",95.0,"USD","50003","Portland","Main",0
"PROSPECTOR CREWNECK SWEATSHIRT","703060854803","F1420238580-1-Fir-L-BGD","L","Fir",95.0,"USD","50003","Portland","Main",0
