Product Name,SKU,Size,Color,Price,Currency,Location,In Stock,Reserved,Allocated,Safety Stock,ATP,Last Stock Import,Timezone,Last Mispick,Mispick Timezone,Present ATP,Future ATP,Future Availability Date
LINED MACKINAW JAC SHIRT,F1420232893-1-BlkMrlPd-2XL-BGD,XXL,BlkHthChk,225,USD,50003,0,0,0,0,0,,,,,0,0,
LINED MACKINAW JAC SHIRT,F1420232893-1-BlkMrlPd-3XL-BGD,XXXL,BlkHthChk,225,USD,50003,0,0,0,0,0,,,,,0,0,
BRISTOL CARDIGAN SWEATER,F1420263574-1-DkNvyHth-S-ITA,S,DkNvyHtr,261.75,USD,50003,0,0,0,0,0,,,,,0,0,
BRISTOL CARDIGAN SWEATER,F1420263574-1-DkNvyHth-M-ITA,M,DkNvyHtr,261.75,USD,50003,0,0,0,0,0,,,,,0,0,
BRISTOL CARDIGAN SWEATER,F1420263574-1-DkNvyHth-L-ITA,L,DkNvyHtr,261.75,USD,50003,0,0,0,0,0,,,,,0,0,
BRISTOL CARDIGAN SWEATER,F1420263574-1-DkNvyHth-XS-ITA,XS,DkNvyHtr,261.75,USD,50003,0,0,0,0,0,,,,,0,0,
BRISTOL CARDIGAN SWEATER,F1420263574-1-DkNvyHth-XL-ITA,XL,DkNvyHtr,261.75,USD,50003,0,0,0,0,0,,,,,0,0,
BRISTOL CARDIGAN SWEATER,F1420263574-1-DkNvyHth-2XL-ITA,XXL,DkNvyHtr,261.75,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-PrairieSnd-7.5-USA,7.5,PrairieSnd,109,USD,50003,0,0,0,0,0,,,,,0,0,
"FILSON X XTRATUF 6"" LEGACY LACE BOOTS",F1320210281-1-Brn-14-CHN,14,Brown,57,USD,50003,0,0,0,0,0,,,,,0,0,
1970S LOGGER THERMAL SOCKS,F1320278878-1-FieldOlv-M-USA,M,FieldOlive,30,USD,50003,0,0,0,0,0,,,,,0,0,
1970S LOGGER THERMAL SOCKS,F1320278878-1-FieldOlv-L-USA,L,FieldOlive,30,USD,50003,0,0,0,0,0,,,,,0,0,
1970S LOGGER THERMAL SOCKS,F1320278878-1-FieldOlv-XL-USA,XL,FieldOlive,30,USD,50003,0,0,0,0,0,,,,,0,0,
RAIL-SPLITTER LINED JEANS,F1420233134-1-IndRedBlk-30x34-USA,30x34,RawRedBlac,102,USD,50003,0,0,0,0,0,,,,,0,0,
RAIL-SPLITTER LINED JEANS,F1420233134-1-IndRedBlk-32x34-USA,32x34,RawRedBlac,102,USD,50003,0,0,0,0,0,,,,,0,0,
Ground/Standard Shipping Charge,20279678,,,12,USD,50003,0,0,0,0,0,,,,,0,0,
Overnight Shipping Charge,20279680,,,36,USD,50003,0,0,0,0,0,,,,,0,0,
VINTAGE FLANNEL WORK SHIRT,F1411010689-1-TanGrnPd-S-IND,S,TanGnCffee,118.3,USD,50003,0,0,0,0,0,,,,,0,0,
VINTAGE FLANNEL WORK SHIRT,F1411010689-1-TanGrnPd-M-IND,M,TanGnCffee,118.3,USD,50003,0,0,0,0,0,,,,,0,0,
VINTAGE FLANNEL WORK SHIRT,F1411010689-1-NvyIvrRed-M-IND,S,NvyIvryRed,50.7,USD,50003,0,0,0,0,0,,,,,0,0,
VINTAGE FLANNEL WORK SHIRT,F1411010689-1-RedChrPd-M-IND,M,RedChrcoal,50.7,USD,50003,0,0,0,0,0,,,,,0,0,
VINTAGE FLANNEL WORK SHIRT,F1411010689-1-DkNvy-S-IND,S,DknvySalut,50.7,USD,50003,0,0,0,0,0,,,,,0,0,
DRY TIN LOW-PROFILE LOGGER CAP (CRITTERS),F1320263610-1-Nvy-OS-VNM,One Size,NavyFsh,45,USD,50003,0,0,0,0,0,,,,,0,0,
WAFFLE KNIT THERMAL CREWNECK (REALTREE),F1420263554-1-Hardwoods-XS-PER,XS,Hardwoods,57.5,USD,50003,0,0,0,0,0,,,,,0,0,
WAFFLE KNIT THERMAL CREWNECK (REALTREE),F1420263554-1-Hardwoods-M-PER,M,Hardwoods,57.5,USD,50003,0,0,0,0,0,,,,,0,0,
WAFFLE KNIT THERMAL CREWNECK (REALTREE),F1420263554-1-Hardwoods-2XL-PER,XXL,Hardwoods,57.5,USD,50003,0,0,0,0,0,,,,,0,0,
FIELD FLANNEL SHIRT,F1420172107-1-RedGrnMti-S-IND,S,LogJam,119,USD,50003,0,0,0,0,0,,,,,0,0,
FIELD FLANNEL SHIRT,F1420172107-1-RedGrnMti-M-IND,M,LogJam,119,USD,50003,0,0,0,0,0,,,,,0,0,
FIELD FLANNEL SHIRT,F1420172107-1-RedGrnMti-L-IND,L,LogJam,119,USD,50003,0,0,0,0,0,,,,,0,0,
FIELD FLANNEL SHIRT,F1420172107-1-RedGrnMti-XS-IND,XS,LogJam,119,USD,50003,0,0,0,0,0,,,,,0,0,
FIELD FLANNEL SHIRT,F1420172107-1-RedGrnMti-XL-IND,XL,LogJam,119,USD,50003,0,0,0,0,0,,,,,0,0,
FIELD FLANNEL SHIRT,F1420172107-1-RedGrnMti-2XL-IND,XXL,LogJam,119,USD,50003,0,0,0,0,0,,,,,0,0,
WORSTED WOOL GUIDE SHIRT,F1420263530-1-ForGrnHth-S-LKA,S,FrstGrnHtr,112.5,USD,50003,0,0,0,0,0,,,,,0,0,
WORSTED WOOL GUIDE SHIRT,F1420263530-1-ForGrnHth-M-LKA,M,FrstGrnHtr,112.5,USD,50003,0,0,0,0,0,,,,,0,0,
WORSTED WOOL GUIDE SHIRT,F1420263530-1-ForGrnHth-L-LKA,L,FrstGrnHtr,112.5,USD,50003,0,0,0,0,0,,,,,0,0,
WORSTED WOOL GUIDE SHIRT,F1420263530-1-ForGrnHth-XS-LKA,XS,FrstGrnHtr,112.5,USD,50003,0,0,0,0,0,,,,,0,0,
WORSTED WOOL GUIDE SHIRT,F1420263530-1-ForGrnHth-XL-LKA,XL,FrstGrnHtr,112.5,USD,50003,0,0,0,0,0,,,,,0,0,
WORSTED WOOL GUIDE SHIRT,F1420263530-1-ForGrnHth-2XL-LKA,XXL,FrstGrnHtr,112.5,USD,50003,0,0,0,0,0,,,,,0,0,
ROUGHOUT LEATHER SHORT CRUISER (FAST TRACK),F1420187535-1-Chr-XL-USA,XL,Charcoal,1087.5,USD,50003,0,0,0,0,0,,,,,0,0,
BANDANA (KYLER MARTZ) (FAST TRACK),F1320272639-1-Nvy-OS-USA,One Size,Navy,25,USD,50003,0,0,0,0,0,,,,,0,0,
BANDANA (KYLER MARTZ) (FAST TRACK),F1320272639-1-Wsk-OS-USA,One Size,Whiskey,25,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-8-USA,8,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-10-USA,10,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-12-USA,12,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-13-USA,13,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-14-USA,14,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-11-USA,11,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-8.5-USA,8.5,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
FILSON X DANNER TRAIL 2650 HIKER,F1320210282-1-DkTimber-9-USA,9,DarkTimber,109,USD,50003,0,0,0,0,0,,,,,0,0,
